text,category
Refilled taxi with Rs airport,Transportation
Took taxi to airport for Rs 4218,Transportation
Took taxi to airport for Rs 2603,Transportation
Refilled auto with Rs office,Transportation
Took taxi to airport for Rs 1346,Transportation
Paid Rs taxi for airport travel,Transportation
Took petrol to bike for Rs 2585,Transportation
Took bus to city for Rs 3562,Transportation
Refilled bus with Rs city,Transportation
Refilled taxi with Rs airport,Transportation
Refilled cab with Rs station,Transportation
Paid Rs cab for station travel,Transportation
Refilled bus with Rs city,Transportation
Refilled cab with Rs station,Transportation
Paid Rs cab for station travel,Transportation
Took auto to office for Rs 3993,Transportation
Paid Rs auto for office travel,Transportation
Paid Rs taxi for airport travel,Transportation
Took auto to office for Rs 1963,Transportation
Refilled bus with Rs city,Transportation
Refilled taxi with Rs airport,Transportation
Paid Rs bus for city travel,Transportation
Refilled bus with Rs city,Transportation
Took auto to office for Rs 3919,Transportation
Refilled auto with Rs office,Transportation
Took bus to city for Rs 2419,Transportation
Paid Rs petrol for bike travel,Transportation
Paid Rs taxi for airport travel,Transportation
Took auto to office for Rs 3821,Transportation
Paid Rs petrol for bike travel,Transportation
Took auto to office for Rs 720,Transportation
Paid Rs taxi for airport travel,Transportation
Took bus to city for Rs 3624,Transportation
Paid Rs petrol for bike travel,Transportation
Refilled cab with Rs station,Transportation
Refilled bus with Rs city,Transportation
Refilled auto with Rs office,Transportation
Paid Rs auto for office travel,Transportation
Refilled taxi with Rs airport,Transportation
Refilled taxi with Rs airport,Transportation
Refilled bus with Rs city,Transportation
Refilled auto with Rs office,Transportation
Refilled taxi with Rs airport,Transportation
Paid Rs bus for city travel,Transportation
Refilled petrol with Rs bike,Transportation
Paid Rs taxi for airport travel,Transportation
Took auto to office for Rs 2773,Transportation
Refilled bus with Rs city,Transportation
Refilled petrol with Rs bike,Transportation
Paid Rs taxi for airport travel,Transportation
Paid Rs taxi for airport travel,Transportation
Paid Rs bus for city travel,Transportation
Refilled auto with Rs office,Transportation
Took taxi to airport for Rs 534,Transportation
Refilled petrol with Rs bike,Transportation
Refilled cab with Rs station,Transportation
Took cab to station for Rs 1412,Transportation
Refilled cab with Rs station,Transportation
Refilled bus with Rs city,Transportation
Took auto to office for Rs 3618,Transportation
Took bus to city for Rs 4307,Transportation
Refilled bus with Rs city,Transportation
Paid Rs auto for office travel,Transportation
Refilled auto with Rs office,Transportation
Paid Rs taxi for airport travel,Transportation
Paid Rs cab for station travel,Transportation
Refilled auto with Rs office,Transportation
Paid Rs auto for office travel,Transportation
Refilled taxi with Rs airport,Transportation
Refilled cab with Rs station,Transportation
Took auto to office for Rs 4685,Transportation
Paid Rs bus for city travel,Transportation
Refilled taxi with Rs airport,Transportation
Paid Rs petrol for bike travel,Transportation
Refilled bus with Rs city,Transportation
Took petrol to bike for Rs 653,Transportation
Refilled bus with Rs city,Transportation
Paid Rs petrol for bike travel,Transportation
Took cab to station for Rs 347,Transportation
Refilled auto with Rs office,Transportation
Paid Rs petrol for bike travel,Transportation
Refilled bus with Rs city,Transportation
Paid Rs taxi for airport travel,Transportation
Refilled petrol with Rs bike,Transportation
Paid Rs bus for city travel,Transportation
Refilled petrol with Rs bike,Transportation
Train ticket to Coimbatore,Transportation
Took a train ticket to cochin,Transportation
Took a ticket to delhi,Transportation
Took a flight ticket to Singapore,Transportation
Paid Rs bus for city travel,Transportation
Refilled cab with Rs station,Transportation
Took taxi to airport for Rs 3385,Transportation
Refilled petrol with Rs bike,Transportation
Took cab to station for Rs 4866,Transportation
Refilled petrol with Rs bike,Transportation
Took petrol to bike for Rs 2559,Transportation
Took taxi to airport for Rs 2618,Transportation
Refilled bus with Rs city,Transportation
Paid Rs taxi for airport travel,Transportation
Paid Rs taxi for airport travel,Transportation
Paid Rs petrol for bike travel,Transportation
Took petrol to bike for Rs 2045,Transportation
Paid Rs petrol for bike travel,Transportation
Took auto to office for Rs 4077,Transportation
Refilled bus with Rs city,Transportation
Took cab to station for Rs 1546,Transportation
Refilled taxi with Rs airport,Transportation
Took bus to city for Rs 2978,Transportation
Refilled taxi with Rs airport,Transportation
Took auto to office for Rs 1157,Transportation
Refilled petrol with Rs bike,Transportation
Took auto to office for Rs 3009,Transportation
Refilled petrol with Rs bike,Transportation
Paid Rs auto for office travel,Transportation
Paid Rs bus for city travel,Transportation
Refilled petrol with Rs bike,Transportation
Paid Rs auto for office travel,Transportation
Paid Rs cab for station travel,Transportation
Paid Rs petrol for bike travel,Transportation
Refilled bus with Rs city,Transportation
Took auto to office for Rs 3310,Transportation
Refilled petrol with Rs bike,Transportation
Took cab to station for Rs 1298,Transportation
Refilled petrol with Rs bike,Transportation
Paid Rs auto for office travel,Transportation
Refilled taxi with Rs airport,Transportation
Visited blood test for clinic - Rs 1753,Medical
Paid Rs blood test for clinic treatment,Medical
Visited tablets for pharmacy - Rs 1516,Medical
Purchased tablets from pharmacy Rs pharmacy,Medical
Visited Apollo Hospital for checkup - Rs 3617,Medical
Purchased Apollo Hospital from pharmacy Rs checkup,Medical
Visited dentist for cleaning - Rs 1779,Medical
Visited therapist for session - Rs 4276,Medical
Visited Apollo Hospital for checkup - Rs 4221,Medical
Purchased therapist from pharmacy Rs session,Medical
Visited tablets for pharmacy - Rs 3258,Medical
Purchased dentist from pharmacy Rs cleaning,Medical
Visited dentist for cleaning - Rs 3096,Medical
Purchased tablets from pharmacy Rs pharmacy,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Visited Apollo Hospital for checkup - Rs 2382,Medical
Visited therapist for session - Rs 4468,Medical
Purchased therapist from pharmacy Rs session,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Visited tablets for pharmacy - Rs 3659,Medical
Paid Rs dentist for cleaning treatment,Medical
Paid Rs therapist for session treatment,Medical
Purchased Apollo Hospital from pharmacy Rs checkup,Medical
Purchased dentist from pharmacy Rs cleaning,Medical
Purchased blood test from pharmacy Rs clinic,Medical
Paid Rs tablets for pharmacy treatment,Medical
Purchased Apollo Hospital from pharmacy Rs checkup,Medical
Paid Rs blood test for clinic treatment,Medical
Visited blood test for clinic - Rs 2266,Medical
Visited blood test for clinic - Rs 2407,Medical
Visited dentist for cleaning - Rs 3469,Medical
Visited tablets for pharmacy - Rs 4367,Medical
Purchased dentist from pharmacy Rs cleaning,Medical
Paid Rs dentist for cleaning treatment,Medical
Paid Rs therapist for session treatment,Medical
Purchased dentist from pharmacy Rs cleaning,Medical
Purchased Apollo Hospital from pharmacy Rs checkup,Medical
Purchased therapist from pharmacy Rs session,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Paid Rs therapist for session treatment,Medical
Visited Apollo Hospital for checkup - Rs 1873,Medical
Visited tablets for pharmacy - Rs 1045,Medical
Paid Rs dentist for cleaning treatment,Medical
Purchased Apollo Hospital from pharmacy Rs checkup,Medical
Visited blood test for clinic - Rs 4650,Medical
Paid Rs tablets for pharmacy treatment,Medical
Visited tablets for pharmacy - Rs 582,Medical
Purchased therapist from pharmacy Rs session,Medical
Paid Rs therapist for session treatment,Medical
Purchased blood test from pharmacy Rs clinic,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Visited dentist for cleaning - Rs 3881,Medical
Visited tablets for pharmacy - Rs 2228,Medical
Visited dentist for cleaning - Rs 1872,Medical
Paid Rs tablets for pharmacy treatment,Medical
Purchased Apollo Hospital from pharmacy Rs checkup,Medical
Paid Rs dentist for cleaning treatment,Medical
Paid Rs therapist for session treatment,Medical
Visited tablets for pharmacy - Rs 1835,Medical
Purchased dentist from pharmacy Rs cleaning,Medical
Visited dentist for cleaning - Rs 4045,Medical
Purchased therapist from pharmacy Rs session,Medical
Visited therapist for session - Rs 1036,Medical
Visited tablets for pharmacy - Rs 3458,Medical
Paid Rs dentist for cleaning treatment,Medical
Paid Rs therapist for session treatment,Medical
Visited Apollo Hospital for checkup - Rs 1774,Medical
Visited therapist for session - Rs 326,Medical
Purchased tablets from pharmacy Rs pharmacy,Medical
Purchased therapist from pharmacy Rs session,Medical
Purchased blood test from pharmacy Rs clinic,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Visited Apollo Hospital for checkup - Rs 1160,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Visited therapist for session - Rs 4860,Medical
Purchased Apollo Hospital from pharmacy Rs checkup,Medical
Purchased dentist from pharmacy Rs cleaning,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Visited therapist for session - Rs 1481,Medical
Visited Apollo Hospital for checkup - Rs 968,Medical
Purchased tablets from pharmacy Rs pharmacy,Medical
Paid Rs dentist for cleaning treatment,Medical
Visited therapist for session - Rs 3177,Medical
Paid Rs therapist for session treatment,Medical
Paid Rs dentist for cleaning treatment,Medical
Visited tablets for pharmacy - Rs 3637,Medical
Visited dentist for cleaning - Rs 947,Medical
Purchased tablets from pharmacy Rs pharmacy,Medical
Paid Rs dentist for cleaning treatment,Medical
Paid Rs dentist for cleaning treatment,Medical
Visited tablets for pharmacy - Rs 1326,Medical
Purchased tablets from pharmacy Rs pharmacy,Medical
Paid Rs therapist for session treatment,Medical
Paid Rs blood test for clinic treatment,Medical
Visited tablets for pharmacy - Rs 4349,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Paid Rs blood test for clinic treatment,Medical
Visited tablets for pharmacy - Rs 2173,Medical
Visited Apollo Hospital for checkup - Rs 2621,Medical
Visited Apollo Hospital for checkup - Rs 3866,Medical
Purchased tablets from pharmacy Rs pharmacy,Medical
Paid Rs dentist for cleaning treatment,Medical
Visited Apollo Hospital for checkup - Rs 1757,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Visited tablets for pharmacy - Rs 2284,Medical
Purchased Apollo Hospital from pharmacy Rs checkup,Medical
Paid Rs tablets for pharmacy treatment,Medical
Paid Rs dentist for cleaning treatment,Medical
Paid Rs tablets for pharmacy treatment,Medical
Purchased dentist from pharmacy Rs cleaning,Medical
Purchased blood test from pharmacy Rs clinic,Medical
Visited blood test for clinic - Rs 4036,Medical
Paid Rs tablets for pharmacy treatment,Medical
Visited blood test for clinic - Rs 2343,Medical
Paid Rs tablets for pharmacy treatment,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Paid Rs dentist for cleaning treatment,Medical
Visited therapist for session - Rs 3276,Medical
Paid Rs blood test for clinic treatment,Medical
Visited blood test for clinic - Rs 3515,Medical
Purchased therapist from pharmacy Rs session,Medical
Purchased Apollo Hospital from pharmacy Rs checkup,Medical
Purchased therapist from pharmacy Rs session,Medical
Purchased therapist from pharmacy Rs session,Medical
Visited tablets for pharmacy - Rs 1699,Medical
Paid Rs tablets for pharmacy treatment,Medical
Visited dentist for cleaning - Rs 3362,Medical
Purchased blood test from pharmacy Rs clinic,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Visited tablets for pharmacy - Rs 4795,Medical
Visited dentist for cleaning - Rs 3300,Medical
Visited dentist for cleaning - Rs 2446,Medical
Purchased tablets from pharmacy Rs pharmacy,Medical
Purchased tablets from pharmacy Rs pharmacy,Medical
Visited blood test for clinic - Rs 4541,Medical
Visited dentist for cleaning - Rs 459,Medical
Paid Rs therapist for session treatment,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Purchased therapist from pharmacy Rs session,Medical
Paid Rs Apollo Hospital for checkup treatment,Medical
Purchased Apollo Hospital from pharmacy Rs checkup,Medical
Paid Rs dentist for cleaning treatment,Medical
Visited dentist for cleaning - Rs 1965,Medical
Paid Rs therapist for session treatment,Medical
Visited Apollo Hospital for checkup - Rs 3677,Medical
Visited Apollo Hospital for checkup - Rs 1371,Medical
Purchased tablets from pharmacy Rs pharmacy,Medical
Paid Rs blood test for clinic treatment,Medical
Purchased tablets from pharmacy Rs pharmacy,Medical
Visited tablets for pharmacy - Rs 3738,Medical
Bought Netflix for Rs subscription as entertainment,Entertainment
Went to PVR for movie Rs 2898,Entertainment
Went to concert for pass Rs 3257,Entertainment
Went to theatre for drama Rs 389,Entertainment
Went to Netflix for subscription Rs 3169,Entertainment
Went to Steam for game Rs 3617,Entertainment
Went to PVR for movie Rs 196,Entertainment
Paid Rs theatre for drama event,Entertainment
Paid Rs theatre for drama event,Entertainment
Bought Steam for Rs game as entertainment,Entertainment
Bought Netflix for Rs subscription as entertainment,Entertainment
Paid Rs PVR for movie event,Entertainment
Went to Steam for game Rs 2417,Entertainment
Paid Rs PVR for movie event,Entertainment
Bought concert for Rs pass as entertainment,Entertainment
Paid Rs Steam for game event,Entertainment
Paid Rs Netflix for subscription event,Entertainment
Went to Steam for game Rs 3136,Entertainment
Went to PVR for movie Rs 4536,Entertainment
